City;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
Newman;Female;No;No;No;6;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91,1;455,3;Yes;1;68;2266;Long distance charges
Whittier;Male;No;No;No;35;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;One year;Yes;Electronic check;85,15;3030,6;Yes;1;81;5928;Attitude of support person
La Palma;Female;No;Yes;No;33;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;93,8;3124,5;Yes;1;76;5080;Attitude of support person
Cerritos;Male;No;No;No;45;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check;20,4;930,45;Yes;1;87;5398;Attitude of support person
Jenner;Male;No;No;No;11;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,55;824,75;Yes;1;81;4601;Long distance charges
Lakewood;Male;No;No;No;6;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);30,5;208,7;Yes;1;93;4667;Attitude of service provider
Brooks;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;89,15;89,15;Yes;1;68;3123;Long distance charges
Seal Beach;Female;No;No;Yes;11;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Credit card (automatic);20,1;221,35;Yes;1;95;4500;Attitude of support person
Pine Grove;Female;No;No;No;5;Yes;No;Fiber optic;No;No;No;Yes;No;Yes;Month-to-month;Yes;Credit card (automatic);85,4;425,9;Yes;1;90;3716;Long distance charges
Long Beach;Female;Yes;Yes;No;40;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);99,2;4062,2;Yes;1;69;5098;Moved
Sacramento;Female;No;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;84,45;1058,6;Yes;1;74;5801;Long distance charges
Long Beach;Female;No;No;No;7;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,05;164,85;Yes;1;89;5595;Moved
Weaverville;Male;No;No;No;31;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;78,45;2435,15;Yes;1;72;3091;Long distance charges
Duarte;Male;No;Yes;No;7;Yes;No;DSL;Yes;No;No;No;No;No;One year;Yes;Electronic check;49,75;331,3;Yes;1;75;5651;Competitor offered higher download speeds
Los Angeles;Male;Yes;No;No;51;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;97,8;4913,3;Yes;1;81;6204;Long distance charges
Culver City;Female;Yes;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;75,45;158,4;Yes;1;65;3350;Long distance charges
Tujunga;Male;No;No;No;67;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);118,35;7804,15;Yes;1;91;6255;Competitor had better devices
Pasadena;Male;No;No;No;8;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;30,45;226,45;Yes;1;94;4549;Competitor had better devices
Lakewood;Male;No;Yes;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94,7;1687,95;Yes;1;72;2206;Long distance charges
Fontana;Male;No;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,05;318,9;Yes;1;75;3685;Long distance charges
Corona Del Mar;Male;Yes;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70,85;70,85;Yes;1;69;3022;Long distance charges
Wasco;Male;No;No;No;28;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74,9;2068,55;Yes;1;98;5392;Long distance charges
Stockton;Male;No;No;No;3;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;78,5;242,05;Yes;1;71;3567;Long distance charges
Turlock;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69,35;69,35;Yes;1;91;5796;Long distance charges
Davis;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);74,9;147,15;Yes;1;93;2078;Long distance charges
Malibu;Female;Yes;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,6;195,05;Yes;1;94;4322;Long distance charges
Panorama City;Male;No;No;No;3;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;69,35;191,35;Yes;1;98;3520;Price too high
Rancho Cucamonga;Female;No;Yes;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,9;764,95;Yes;1;85;2656;Long distance charges
Burbank;Female;Yes;No;No;1;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;36,45;36,45;Yes;1;96;5303;Service dissatisfaction
San Diego;Female;No;Yes;No;13;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;88,35;1222,8;Yes;1;81;3740;Long distance charges
Dublin;Male;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;84,85;84,85;Yes;1;77;3086;Long distance charges
El Monte;Female;Yes;Yes;No;24;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);40,65;933,3;Yes;1;85;3843;Limited range of services
Rancho Cucamonga;Male;No;Yes;No;53;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;60,45;3184,25;Yes;1;98;5650;Lack of affordable download/upload speed
San Jose;Male;No;No;No;2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;94,95;178,1;Yes;1;87;4493;Long distance charges
Old Station;Male;No;Yes;No;21;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,1;2249,95;Yes;1;69;3584;Long distance charges
Hacienda Heights;Female;No;Yes;No;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);20,15;156,25;Yes;1;98;4785;Price too high
La Puente;Female;No;Yes;No;48;No;No phone service;DSL;No;Yes;Yes;No;No;No;One year;No;Mailed check;34,7;1604,5;Yes;1;90;5995;Product dissatisfaction
Pomona;Female;Yes;Yes;No;43;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;107,55;4533,9;Yes;1;93;4423;Service dissatisfaction
Buena Park;Female;Yes;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70,75;154,85;Yes;1;96;4407;Long distance charges
Burbank;Female;No;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,75;1129,75;Yes;1;65;2229;Long distance charges
Los Angeles;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,7;151,65;Yes;1;67;2701;Moved
Los Angeles;Female;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,65;820,5;Yes;1;86;5372;Moved
Los Angeles;Female;No;Yes;Yes;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,8;3046,05;Yes;1;84;5003;Moved
Squaw Valley;Female;Yes;No;No;4;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;78,85;292,8;Yes;1;72;5301;Moved
Imperial Beach;Male;No;Yes;No;52;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);96,25;4990,25;Yes;1;97;4751;Poor expertise of phone support
Mariposa;Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,9;74,9;Yes;1;84;2548;Moved
Jamul;Male;No;No;No;69;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);104,7;7220,35;Yes;1;71;6350;Competitor offered higher download speeds
Borrego Springs;Male;No;No;Yes;40;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;55,25;2139,2;Yes;1;65;2810;Competitor offered more data
Mi Wuk Village;Female;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,25;80,25;Yes;1;69;2502;Moved
El Cajon;Male;No;No;No;11;Yes;Yes;DSL;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;53,75;608;Yes;1;99;3407;Competitor had better devices
Igo;Male;No;No;No;66;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;99,5;6710,5;Yes;1;73;4001;Moved
La Jolla;Female;No;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);102,1;5885,4;Yes;1;96;4415;Moved
Julian;Female;Yes;No;No;5;No;No phone service;DSL;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;45,7;198;Yes;1;73;3561;Competitor offered higher download speeds
Oceanside;Female;No;Yes;No;14;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);90,9;1259;Yes;1;70;5148;Moved
Buellton;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85,55;85,55;Yes;1;86;3967;Moved
Morro Bay;Female;No;Yes;No;35;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,3;2416,55;Yes;1;79;5413;Moved
Nipomo;Male;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);106,35;3520,75;Yes;1;65;4113;Moved
San Jose;Male;No;Yes;No;17;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;92,55;1515,1;Yes;1;99;5775;Moved
Downieville;Female;No;No;No;4;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);76,65;333,6;Yes;1;97;4580;Moved
San Diego;Female;No;Yes;No;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19,5;146,3;Yes;1;67;5579;Price too high
San Diego;Male;No;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;51,25;51,25;Yes;1;94;2180;Product dissatisfaction
San Diego;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,6;45,6;Yes;1;88;3037;Service dissatisfaction
San Diego;Female;No;No;No;6;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Bank transfer (automatic);49,65;267,35;Yes;1;88;4248;Lack of self-service on Website
San Diego;Male;No;Yes;Yes;15;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20;288,05;Yes;1;73;4672;Network reliability
San Diego;Female;No;Yes;No;25;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);34;853;Yes;1;93;5024;Limited range of services
Dunnigan;Female;No;Yes;No;5;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Mailed check;99,15;465,05;Yes;1;74;2283;Moved
El Monte;Male;No;No;No;20;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85,25;1734,5;Yes;1;92;2414;Moved
San Diego;Female;No;Yes;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);107,95;5293,2;Yes;1;92;5785;Extra data charges
Glendora;Male;No;No;No;26;Yes;Yes;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;80,5;2088,8;Yes;1;72;2729;Moved
Palm Desert;Female;No;No;No;37;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;64,75;2345,2;Yes;1;80;5554;Product dissatisfaction
La Puente;Male;Yes;No;No;5;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;89,8;502,6;Yes;1;88;2960;Moved
Coachella;Female;No;No;No;12;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Mailed check;95,5;1115,15;Yes;1;88;3538;Lack of self-service on Website
Imperial;Female;Yes;No;No;10;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;29,65;291,4;Yes;1;89;5702;Network reliability
Camarillo;Male;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;69,1;69,1;Yes;1;83;2767;Moved
Camarillo;Male;No;Yes;No;20;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,2;1776,55;Yes;1;85;2058;Moved
Carpinteria;Female;No;No;No;6;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);93,55;536,4;Yes;1;71;5617;Moved
Parker Dam;Female;No;No;No;54;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);103,95;5639,05;Yes;1;99;6117;Competitor offered more data
Oakland;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89,1;89,1;Yes;1;79;2905;Moved
Thermal;Female;No;No;No;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;50,8;50,8;Yes;1;68;4535;Don't know
Berkeley;Female;No;Yes;No;17;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;No;Month-to-month;No;Electronic check;94,4;1607,2;Yes;1;66;4103;Moved
Meadow Vista;Male;No;No;No;5;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;104,1;541,9;Yes;1;76;3131;Moved
Long Beach;Male;Yes;No;No;47;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;No;Mailed check;85,5;4042,3;Yes;1;68;3645;Moved
Capistrano Beach;Female;No;No;No;8;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;No;Electronic check;84,95;668,4;Yes;1;81;4437;Moved
Angelus Oaks;Male;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,9;19,9;Yes;1;67;5441;Competitor offered more data
Corona Del Mar;Male;No;No;No;11;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;73,85;926,25;Yes;1;66;3634;Moved
Sunnyvale;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);70;153,05;Yes;1;81;2928;Moved
San Francisco;Female;No;No;No;21;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;97,35;2119,5;Yes;1;89;4321;Moved
Mendocino;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;69,95;69,95;Yes;1;79;5066;Moved
Navarro;Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,3;93,3;Yes;1;65;2578;Moved
Green Valley Lake;Female;Yes;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,8;24,8;Yes;1;73;5377;Product dissatisfaction
Highland;Male;No;No;No;64;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);105,65;6903,1;Yes;1;98;4870;Service dissatisfaction
Los Angeles;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69,9;69,9;Yes;1;84;2100;Moved
Los Angeles;Male;No;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;101,4;4528;Yes;1;79;3370;Moved
Rialto;Male;No;No;No;10;Yes;Yes;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);72,15;794,25;Yes;1;98;2457;Limited range of services
Shoshone;Female;No;No;No;2;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;76,4;160,8;Yes;1;100;3005;Lack of affordable download/upload speed
Wrightwood;Female;Yes;No;No;20;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;61,6;1174,35;Yes;1;85;3866;Long distance charges
Los Angeles;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80,8;80,8;Yes;1;82;4424;Moved
Santa Clarita;Female;No;No;Yes;19;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,6;1934,45;Yes;1;71;3764;Network reliability
San Bernardino;Female;No;Yes;No;70;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;No;Credit card (automatic);65,3;4759,75;Yes;1;85;5591;Product dissatisfaction
San Bernardino;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,65;19,65;Yes;1;69;5717;Service dissatisfaction
El Monte;Female;No;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70,4;147,15;Yes;1;75;5687;Network reliability
Rosemead;Male;No;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;85,4;401,1;Yes;1;80;3676;Network reliability
Lake Elsinore;Female;No;No;No;13;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;31,05;347,25;Yes;1;97;5131;Don't know
Aguanga;Male;No;No;No;7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;51;354,05;Yes;1;90;3736;Attitude of service provider
Homeland;Female;No;Yes;Yes;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);44,35;44,35;Yes;1;90;4599;Attitude of support person
Borrego Springs;Male;No;No;No;5;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,6;415,55;Yes;1;69;5715;Network reliability
San Jacinto;Male;No;No;Yes;54;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);55;3092,65;Yes;1;84;5282;Don't know
Ranchita;Male;No;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103,4;6603;Yes;1;98;4352;Network reliability
Indio;Male;No;No;No;1;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);90,85;90,85;Yes;1;81;3424;Network reliability
Temecula;Male;No;Yes;No;33;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;73,9;2405,05;Yes;1;73;5374;Attitude of service provider
Thermal;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,3;75,3;Yes;1;67;4902;Network reliability
Sun City;Female;No;No;No;23;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);75,6;1758,6;Yes;1;81;2115;Network reliability
San Mateo;Female;No;No;No;6;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;79,05;434,5;Yes;1;99;3263;Network reliability
Clearlake;Female;No;No;No;1;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;75,8;75,8;Yes;1;70;3940;Network reliability
Costa Mesa;Male;No;Yes;No;49;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;One year;Yes;Bank transfer (automatic);51,8;2541,25;Yes;1;67;5375;Moved
Dana Point;Female;Yes;Yes;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;46;46;Yes;1;67;4531;Competitor had better devices
Cloverdale;Female;No;No;No;7;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,3;523,15;Yes;1;69;3830;Network reliability
Fulton;Female;Yes;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);89,6;6127,6;Yes;1;69;5651;Network reliability
Laguna Beach;Male;Yes;Yes;No;44;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;One year;No;Mailed check;88,4;3912,9;Yes;1;99;2674;Competitor made better offer
Newport Beach;Female;No;No;Yes;5;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;46;221,7;Yes;1;85;4846;Competitor had better devices
Silverado;Male;No;No;No;4;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Credit card (automatic);51,75;201,1;Yes;1;83;3865;Competitor had better devices
Nice;Male;Yes;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89,5;676,7;Yes;1;89;3077;Network reliability
Rio Nido;Male;No;Yes;No;8;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75;632,95;Yes;1;80;2587;Network reliability
Anaheim;Male;No;No;No;9;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);34,7;296,1;Yes;1;95;5352;Competitor offered higher download speeds
Alderpoint;Male;Yes;Yes;No;15;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);85,6;1345,55;Yes;1;83;4981;Network reliability
Brea;Female;No;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,55;20,55;Yes;1;78;3797;Competitor offered more data
Brea;Female;No;No;No;61;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;106,6;6428,4;Yes;1;68;4183;Competitor offered more data
Bayside;Male;Yes;No;No;16;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;86,6;1281;Yes;1;81;2508;Network reliability
Hume;Female;No;No;No;5;Yes;No;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;89,35;461,7;Yes;1;70;4584;Network reliability
Daly City;Female;No;No;No;8;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);80,1;679,3;Yes;1;67;5071;Network reliability
Orange;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;55,7;55,7;Yes;1;79;4629;Product dissatisfaction
Orinda;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;84,8;84,8;Yes;1;80;2627;Network reliability
Yorba Linda;Female;No;Yes;No;18;No;No phone service;DSL;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;39,05;669,85;Yes;1;66;2601;Lack of self-service on Website
Vallejo;Female;No;No;No;4;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Mailed check;89,6;365,65;Yes;1;87;4689;Network reliability
El Sobrante;Male;Yes;No;No;19;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;79,85;1471,75;Yes;1;65;3715;Network reliability
Oxnard;Female;No;No;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;Yes;Mailed check;53,55;53,55;Yes;1;79;2326;Lack of affordable download/upload speed
Piru;Female;No;Yes;No;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);93,9;6579,05;Yes;1;95;6173;Long distance charges
Santa Paula;Male;No;Yes;No;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;113,15;7856;Yes;1;90;4610;Extra data charges
Hickman;Female;Yes;Yes;No;4;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,6;347,65;Yes;1;77;4708;Network reliability
Eldridge;Female;No;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);73,5;73,5;Yes;1;74;4378;Network reliability
Summerland;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19,3;19,3;Yes;1;99;4266;Service dissatisfaction
Santa Barbara;Male;No;No;No;1;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;49,65;49,65;Yes;1;97;5338;Lack of self-service on Website
Santa Barbara;Female;No;No;No;46;Yes;No;DSL;No;No;Yes;Yes;No;No;Two year;No;Credit card (automatic);54,35;2460,15;Yes;1;83;2793;Network reliability
Eureka;Male;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,85;635,6;Yes;1;79;3506;Network reliability
Piercy;Male;Yes;Yes;No;69;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;89,95;6143,15;Yes;1;82;6363;Network reliability
Applegate;Female;Yes;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85,55;187,45;Yes;1;86;5512;Network reliability
Lake City;Female;No;No;No;4;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79,15;317,25;Yes;1;68;5762;Network reliability
Corcoran;Female;No;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);48,6;48,6;Yes;1;83;4207;Poor expertise of phone support
Exeter;Female;Yes;No;No;40;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;55,8;2109,35;Yes;1;90;4272;Attitude of support person
Los Angeles;Female;Yes;No;No;9;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84,45;762,5;Yes;1;95;3543;Network reliability
Los Angeles;Female;No;Yes;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99,5;1056,95;Yes;1;84;5286;Network reliability
Ivanhoe;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);20,2;20,2;Yes;1;87;5394;Attitude of service provider
